Customer: Premium $546.06, Excess $500, Half-excess 2, Category power, Postcode 2000, Sum insured $22222, Year built 2021, Professionally built True, Water skiers 1, Previous claims 0. Credit risk: Good
Customer: Premium $323.36, Excess $500, Half-excess 2, Category power, Postcode 2565, Sum insured $26000, Year built 2012, Professionally built True, Water skiers 0, Previous claims 1. Credit risk: Good
Customer: Premium $334.22, Excess $1000, Half-excess 2, Category power, Postcode 2153, Sum insured $28000, Year built 2008, Professionally built True, Water skiers 0, Previous claims 0. Credit risk: Good
Customer: Premium $89.53, Excess $1150, Half-excess 2, Category power, Postcode 2230, Sum insured $0, Year built 1996, Professionally built True, Water skiers 0, Previous claims 0. Credit risk: Bad
Customer: Premium $83.44, Excess $1150, Half-excess 2, Category power, Postcode 2230, Sum insured $1000, Year built 1996, Professionally built True, Water skiers 0, Previous claims 0. Credit risk: Bad
Customer: Premium $85.47, Excess $575, Half-excess 1, Category power, Postcode 2230, Sum insured $2000, Year built 1996, Professionally built True, Water skiers 0, Previous claims 0. Credit risk: Good
Customer: Premium $1844.79, Excess $1750, Half-excess 2, Category power, Postcode 4207, Sum insured $100000, Year built 1990, Professionally built True, Water skiers 0, Previous claims 0. Credit risk: Bad
Customer: Premium $261.34, Excess $950, Half-excess 2, Category power, Postcode 3442, Sum insured $6000, Year built 1974, Professionally built True, Water skiers 0, Previous claims 0. Credit risk: Bad
Customer: Premium $8121.51, Excess $3750, Half-excess 2, Category power, Postcode 2082, Sum insured $380000, Year built 1984, Professionally built True, Water skiers 0, Previous claims 0. Credit risk: Bad
Customer: Premium $598.28, Excess $250, Half-excess 1, Category power, Postcode 3000, Sum insured $30000, Year built 2017, Professionally built True, Water skiers 1, Previous claims 0. Credit risk: Good
Customer: Premium $598.28, Excess $500, Half-excess 2, Category power, Postcode 3000, Sum insured $30000, Year built 2017, Professionally built True, Water skiers 1, Previous claims 0. Credit risk: Good
Customer: Premium $422.11, Excess $750, Half-excess 2, Category power, Postcode 4878, Sum insured $52350, Year built 2015, Professionally built True, Water skiers 0, Previous claims 0. Credit risk: Bad
Customer: Premium $422.11, Excess $750, Half-excess 2, Category power, Postcode 4878, Sum insured $52350, Year built 2015, Professionally built True, Water skiers 0, Previous claims 0. Credit risk: Bad
Customer: Premium $843.95, Excess $1250, Half-excess 2, Category power, Postcode 3564, Sum insured $50000, Year built 2006, Professionally built True, Water skiers 1, Previous claims 0. Credit risk: Good
Customer: Premium $405.93, Excess $1000, Half-excess 2, Category power, Postcode 4553, Sum insured $38000, Year built 2002, Professionally built True, Water skiers 0, Previous claims 0. Credit risk: Good
Customer: Premium $616.13, Excess $750, Half-excess 2, Category power, Postcode 2000, Sum insured $50000, Year built 2021, Professionally built True, Water skiers 1, Previous claims 0. Credit risk: Good
Customer: Premium $3202.25, Excess $5500, Half-excess 3, Category power, Postcode 4179, Sum insured $300000, Year built 2005, Professionally built True, Water skiers 0, Previous claims 0. Credit risk: Good
Customer: Premium $311.18, Excess $1000, Half-excess 2, Category power, Postcode 3198, Sum insured $25000, Year built 2003, Professionally built True, Water skiers 0, Previous claims 0. Credit risk: Good
Customer: Premium $642.85, Excess $750, Half-excess 2, Category power, Postcode 2000, Sum insured $50000, Year built 2021, Professionally built True, Water skiers 1, Previous claims 0. Credit risk: Good
Customer: Premium $459.78, Excess $1000, Half-excess 2, Category power, Postcode 2486, Sum insured $13000, Year built 1980, Professionally built True, Water skiers 0, Previous claims 0. Credit risk: Bad
Customer: Premium $2195.50, Excess $6750, Half-excess 2, Category power, Postcode 2074, Sum insured $350000, Year built 1994, Professionally built True, Water skiers 0, Previous claims 0. Credit risk: Bad
Customer: Premium $497.85, Excess $750, Half-excess 2, Category power, Postcode 2000, Sum insured $50000, Year built 2021, Professionally built True, Water skiers 0, Previous claims 0. Credit risk: Good
Customer: Premium $477.10, Excess $500, Half-excess 2, Category power, Postcode 3133, Sum insured $25000, Year built 2017, Professionally built True, Water skiers 1, Previous claims 0. Credit risk: Good
Customer: Premium $1627.38, Excess $1500, Half-excess 2, Category power, Postcode 2259, Sum insured $90000, Year built 2000, Professionally built True, Water skiers 0, Previous claims 0. Credit risk: Bad
Customer: Premium $523.60, Excess $1000, Half-excess 2, Category power, Postcode 4163, Sum insured $22000, Year built 2006, Professionally built True, Water skiers 1, Previous claims 0. Credit risk: Good
Customer: Premium $874.29, Excess $1250, Half-excess 2, Category power, Postcode 7011, Sum insured $65000, Year built 2008, Professionally built True, Water skiers 0, Previous claims 0. Credit risk: Good
Customer: Premium $1627.38, Excess $1500, Half-excess 2, Category power, Postcode 2259, Sum insured $90000, Year built 2000, Professionally built True, Water skiers 0, Previous claims 0. Credit risk: Bad
Customer: Premium $632.44, Excess $1000, Half-excess 2, Category power, Postcode 4860, Sum insured $25000, Year built 2004, Professionally built True, Water skiers 1, Previous claims 0. Credit risk: Bad
Customer: Premium $1657.71, Excess $1750, Half-excess 2, Category power, Postcode 2444, Sum insured $115000, Year built 2006, Professionally built True, Water skiers 0, Previous claims 0. Credit risk: Bad
Customer: Premium $1304.56, Excess $1000, Half-excess 2, Category power, Postcode 2478, Sum insured $25000, Year built 1984, Professionally built True, Water skiers 0, Previous claims 0. Credit risk: Bad
Customer: Premium $1627.38, Excess $1500, Half-excess 2, Category power, Postcode 2259, Sum insured $90000, Year built 2000, Professionally built True, Water skiers 0, Previous claims 0. Credit risk: Bad
Customer: Premium $905.86, Excess $1750, Half-excess 2, Category power, Postcode 4703, Sum insured $100000, Year built 2006, Professionally built True, Water skiers 0, Previous claims 0. Credit risk: Bad
Customer: Premium $881.52, Excess $1000, Half-excess 2, Category power, Postcode 3223, Sum insured $30000, Year built 1981, Professionally built True, Water skiers 0, Previous claims 0. Credit risk: Bad
Customer: Premium $306.92, Excess $1000, Half-excess 2, Category power, Postcode 2540, Sum insured $15000, Year built 2001, Professionally built True, Water skiers 0, Previous claims 0. Credit risk: Bad
Customer: Premium $1515.60, Excess $1500, Half-excess 2, Category power, Postcode 4680, Sum insured $74500, Year built 2000, Professionally built True, Water skiers 0, Previous claims 0. Credit risk: Bad
Customer: Premium $803.62, Excess $1000, Half-excess 2, Category power, Postcode 2763, Sum insured $30000, Year built 2008, Professionally built True, Water skiers 1, Previous claims 0. Credit risk: Bad
Customer: Premium $262.16, Excess $1000, Half-excess 2, Category power, Postcode 2540, Sum insured $15000, Year built 2001, Professionally built True, Water skiers 0, Previous claims 0. Credit risk: Good
Customer: Premium $496.89, Excess $1250, Half-excess 2, Category power, Postcode 4208, Sum insured $50000, Year built 2007, Professionally built True, Water skiers 0, Previous claims 0. Credit risk: Good
Customer: Premium $197.23, Excess $950, Half-excess 2, Category power, Postcode 3018, Sum insured $7500, Year built 2005, Professionally built True, Water skiers 0, Previous claims 0. Credit risk: Good
Customer: Premium $197.23, Excess $950, Half-excess 2, Category power, Postcode 3018, Sum insured $7500, Year built 2005, Professionally built True, Water skiers 0, Previous claims 0. Credit risk: Good
Customer: Premium $554.08, Excess $1000, Half-excess 2, Category power, Postcode 2161, Sum insured $16850, Year built 2005, Professionally built False, Water skiers 1, Previous claims 0. Credit risk: Bad
Customer: Premium $1214.54, Excess $1500, Half-excess 2, Category power, Postcode 4810, Sum insured $70000, Year built 2006, Professionally built True, Water skiers 0, Previous claims 0. Credit risk: Bad
Customer: Premium $275.33, Excess $950, Half-excess 2, Category power, Postcode 6210, Sum insured $9000, Year built 1998, Professionally built True, Water skiers 0, Previous claims 0. Credit risk: Good
Customer: Premium $613.12, Excess $1500, Half-excess 3, Category power, Postcode 3195, Sum insured $50000, Year built 2021, Professionally built True, Water skiers 1, Previous claims 0. Credit risk: Good
Customer: Premium $262.77, Excess $950, Half-excess 2, Category power, Postcode 2798, Sum insured $5000, Year built 1993, Professionally built True, Water skiers 0, Previous claims 0. Credit risk: Good
Customer: Premium $2073.25, Excess $3500, Half-excess 3, Category power, Postcode 4217, Sum insured $150000, Year built 2006, Professionally built True, Water skiers 0, Previous claims 0. Credit risk: Good
Customer: Premium $1224.47, Excess $1250, Half-excess 2, Category power, Postcode 4869, Sum insured $55000, Year built 1999, Professionally built True, Water skiers 0, Previous claims 0. Credit risk: Bad
Customer: Premium $1147.27, Excess $1250, Half-excess 2, Category power, Postcode 2251, Sum insured $50000, Year built 2007, Professionally built True, Water skiers 0, Previous claims 0. Credit risk: Bad
Customer: Premium $1147.27, Excess $1250, Half-excess 2, Category power, Postcode 2251, Sum insured $50000, Year built 2007, Professionally built True, Water skiers 0, Previous claims 0. Credit risk: Good
Customer: Premium $417.58, Excess $950, Half-excess 2, Category power, Postcode 4820, Sum insured $6325, Year built 1988, Professionally built True, Water skiers 1, Previous claims 0. Credit risk: Bad
Customer: Premium $457.30, Excess $500, Half-excess 2, Category power, Postcode 6751, Sum insured $33000, Year built 2011, Professionally built True, Water skiers 0, Previous claims 0. Credit risk: Bad
Customer: Premium $457.30, Excess $500, Half-excess 2, Category power, Postcode 6751, Sum insured $33000, Year built 2011, Professionally built True, Water skiers 0, Previous claims 0. Credit risk: Bad
Customer: Premium $439.60, Excess $500, Half-excess 2, Category power, Postcode 2168, Sum insured $20000, Year built 2013, Professionally built True, Water skiers 1, Previous claims 0. Credit risk: Good
Customer: Premium $319.51, Excess $500, Half-excess 2, Category power, Postcode 4163, Sum insured $36000, Year built 2015, Professionally built True, Water skiers 0, Previous claims 0. Credit risk: Good
Customer: Premium $1822.39, Excess $1750, Half-excess 2, Category power, Postcode 4216, Sum insured $100000, Year built 1997, Professionally built True, Water skiers 0, Previous claims 0. Credit risk: Bad
Customer: Premium $1622.52, Excess $1500, Half-excess 2, Category power, Postcode 4216, Sum insured $85000, Year built 1997, Professionally built True, Water skiers 0, Previous claims 0. Credit risk: Bad
Customer: Premium $1689.65, Excess $1500, Half-excess 2, Category power, Postcode 4216, Sum insured $90000, Year built 1997, Professionally built True, Water skiers 0, Previous claims 0. Credit risk: Good
Customer: Premium $354.27, Excess $1150, Half-excess 2, Category power, Postcode 3551, Sum insured $3000, Year built 1973, Professionally built True, Water skiers 1, Previous claims 0. Credit risk: Good
Customer: Premium $310.74, Excess $1000, Half-excess 2, Category power, Postcode 4061, Sum insured $13900, Year built 2001, Professionally built True, Water skiers 0, Previous claims 0. Credit risk: Bad
Customer: Premium $274.92, Excess $1000, Half-excess 2, Category power, Postcode 4061, Sum insured $13500, Year built 2001, Professionally built True, Water skiers 0, Previous claims 0. Credit risk: Bad
Customer: Premium $271.76, Excess $1000, Half-excess 2, Category power, Postcode 4061, Sum insured $13000, Year built 2001, Professionally built True, Water skiers 0, Previous claims 0. Credit risk: Good
Customer: Premium $354.27, Excess $1150, Half-excess 2, Category power, Postcode 3551, Sum insured $3000, Year built 1973, Professionally built True, Water skiers 1, Previous claims 0. Credit risk: Good
Customer: Premium $536.66, Excess $1000, Half-excess 2, Category power, Postcode 4879, Sum insured $20000, Year built 2000, Professionally built True, Water skiers 1, Previous claims 0. Credit risk: Good
Customer: Premium $309.70, Excess $1000, Half-excess 2, Category power, Postcode 2200, Sum insured $15000, Year built 1985, Professionally built True, Water skiers 0, Previous claims 0. Credit risk: Bad
Customer: Premium $347.03, Excess $1000, Half-excess 2, Category power, Postcode 2200, Sum insured $15000, Year built 1985, Professionally built True, Water skiers 0, Previous claims 0. Credit risk: Bad
Customer: Premium $213.01, Excess $475, Half-excess 1, Category power, Postcode 4503, Sum insured $8000, Year built 1999, Professionally built True, Water skiers 0, Previous claims 0. Credit risk: Good
Customer: Premium $213.01, Excess $475, Half-excess 1, Category power, Postcode 4503, Sum insured $8000, Year built 1999, Professionally built True, Water skiers 0, Previous claims 0. Credit risk: Good
Customer: Premium $358.01, Excess $950, Half-excess 2, Category power, Postcode 4503, Sum insured $8000, Year built 1999, Professionally built True, Water skiers 1, Previous claims 0. Credit risk: Good
Customer: Premium $150.00, Excess $575, Half-excess 1, Category power, Postcode 4503, Sum insured $8000, Year built 1999, Professionally built True, Water skiers 0, Previous claims 0. Credit risk: Good
Customer: Premium $1363.89, Excess $1250, Half-excess 2, Category power, Postcode 6159, Sum insured $39000, Year built 1995, Professionally built True, Water skiers 1, Previous claims 0. Credit risk: Bad
Customer: Premium $406.30, Excess $950, Half-excess 2, Category power, Postcode 7777, Sum insured $1234, Year built 2007, Professionally built True, Water skiers 1, Previous claims 0. Credit risk: Bad
Customer: Premium $354.91, Excess $950, Half-excess 2, Category power, Postcode 2000, Sum insured $1234, Year built 2007, Professionally built True, Water skiers 1, Previous claims 0. Credit risk: Good
Customer: Premium $308.35, Excess $1000, Half-excess 2, Category power, Postcode 4157, Sum insured $25450, Year built 1995, Professionally built True, Water skiers 0, Previous claims 0. Credit risk: Good
Customer: Premium $231.70, Excess $950, Half-excess 2, Category power, Postcode 4678, Sum insured $5550, Year built 2001, Professionally built True, Water skiers 0, Previous claims 1. Credit risk: Bad
Customer: Premium $202.61, Excess $950, Half-excess 2, Category power, Postcode 4817, Sum insured $6200, Year built 2000, Professionally built True, Water skiers 0, Previous claims 0. Credit risk: Bad
Customer: Premium $213.76, Excess $950, Half-excess 2, Category power, Postcode 4519, Sum insured $8200, Year built 1999, Professionally built True, Water skiers 0, Previous claims 0. Credit risk: Good
Customer: Premium $236.91, Excess $950, Half-excess 2, Category power, Postcode 4751, Sum insured $12550, Year built 2010, Professionally built True, Water skiers 0, Previous claims 0. Credit risk: Bad
Customer: Premium $284.02, Excess $1000, Half-excess 2, Category power, Postcode 2283, Sum insured $23900, Year built 2008, Professionally built True, Water skiers 0, Previous claims 1. Credit risk: Good
Customer: Premium $190.83, Excess $950, Half-excess 2, Category power, Postcode 4017, Sum insured $5110, Year built 2010, Professionally built True, Water skiers 0, Previous claims 0. Credit risk: Good
Customer: Premium $251.31, Excess $950, Half-excess 2, Category power, Postcode 4342, Sum insured $9900, Year built 2004, Professionally built True, Water skiers 0, Previous claims 1. Credit risk: Good
Customer: Premium $440.84, Excess $1250, Half-excess 2, Category power, Postcode 4207, Sum insured $44900, Year built 1991, Professionally built True, Water skiers 0, Previous claims 0. Credit risk: Good
Customer: Premium $261.77, Excess $950, Half-excess 2, Category power, Postcode 4717, Sum insured $10550, Year built 1994, Professionally built True, Water skiers 0, Previous claims 0. Credit risk: Bad
Customer: Premium $531.10, Excess $1250, Half-excess 2, Category power, Postcode 3561, Sum insured $43600, Year built 2002, Professionally built True, Water skiers 0, Previous claims 1. Credit risk: Good
Customer: Premium $311.75, Excess $1000, Half-excess 2, Category power, Postcode 4017, Sum insured $25050, Year built 2001, Professionally built True, Water skiers 0, Previous claims 0. Credit risk: Good
Customer: Premium $287.96, Excess $1000, Half-excess 2, Category power, Postcode 6210, Sum insured $23900, Year built 2009, Professionally built True, Water skiers 0, Previous claims 0. Credit risk: Good
Customer: Premium $263.88, Excess $1000, Half-excess 2, Category power, Postcode 2233, Sum insured $17425, Year built 1999, Professionally built True, Water skiers 0, Previous claims 0. Credit risk: Good
Customer: Premium $198.48, Excess $950, Half-excess 2, Category power, Postcode 2428, Sum insured $5775, Year built 2005, Professionally built True, Water skiers 0, Previous claims 0. Credit risk: Good
Customer: Premium $387.77, Excess $1000, Half-excess 2, Category power, Postcode 6076, Sum insured $32150, Year built 2007, Professionally built True, Water skiers 0, Previous claims 1. Credit risk: Good
Customer: Premium $233.23, Excess $950, Half-excess 2, Category power, Postcode 4346, Sum insured $10500, Year built 2007, Professionally built True, Water skiers 0, Previous claims 0. Credit risk: Good
Customer: Premium $192.70, Excess $950, Half-excess 2, Category power, Postcode 3226, Sum insured $5085, Year built 2010, Professionally built True, Water skiers 0, Previous claims 0. Credit risk: Good
Customer: Premium $272.49, Excess $1000, Half-excess 2, Category power, Postcode 6707, Sum insured $18425, Year built 1997, Professionally built True, Water skiers 0, Previous claims 0. Credit risk: Bad
Customer: Premium $489.64, Excess $1000, Half-excess 2, Category power, Postcode 4511, Sum insured $67300, Year built 2014, Professionally built True, Water skiers 0, Previous claims 0. Credit risk: Good
Customer: Premium $263.88, Excess $1000, Half-excess 2, Category power, Postcode 2233, Sum insured $17425, Year built 1999, Professionally built True, Water skiers 0, Previous claims 0. Credit risk: Good
Customer: Premium $266.77, Excess $1000, Half-excess 2, Category power, Postcode 3021, Sum insured $18400, Year built 2007, Professionally built True, Water skiers 0, Previous claims 0. Credit risk: Good
Customer: Premium $223.19, Excess $950, Half-excess 2, Category power, Postcode 2280, Sum insured $11950, Year built 2002, Professionally built True, Water skiers 0, Previous claims 0. Credit risk: Good
Customer: Premium $197.45, Excess $950, Half-excess 2, Category power, Postcode 4802, Sum insured $6600, Year built 1999, Professionally built True, Water skiers 0, Previous claims 0. Credit risk: Bad
Customer: Premium $281.51, Excess $500, Half-excess 2, Category power, Postcode 4703, Sum insured $25750, Year built 2015, Professionally built True, Water skiers 0, Previous claims 0. Credit risk: Bad
Customer: Premium $263.88, Excess $1000, Half-excess 2, Category power, Postcode 2233, Sum insured $17425, Year built 1999, Professionally built True, Water skiers 0, Previous claims 0. Credit risk: Good
Customer: Premium $210.34, Excess $950, Half-excess 2, Category power, Postcode 7018, Sum insured $7600, Year built 2005, Professionally built True, Water skiers 0, Previous claims 1. Credit risk: Good
Customer: Premium $259.44, Excess $1000, Half-excess 2, Category power, Postcode 4343, Sum insured $13425, Year built 2005, Professionally built True, Water skiers 0, Previous claims 0. Credit risk: Good
Customer: Premium $395.40, Excess $1000, Half-excess 2, Category power, Postcode 5345, Sum insured $19050, Year built 2005, Professionally built True, Water skiers 0, Previous claims 1. Credit risk: Good
Customer: Premium $244.68, Excess $950, Half-excess 2, Category power, Postcode 4745, Sum insured $7925, Year built 1995, Professionally built True, Water skiers 0, Previous claims 0. Credit risk: Bad
Customer: Premium $573.87, Excess $1250, Half-excess 2, Category power, Postcode 4507, Sum insured $46700, Year built 2005, Professionally built True, Water skiers 0, Previous claims 1. Credit risk: Good
Customer: Premium $278.30, Excess $1000, Half-excess 2, Category power, Postcode 4670, Sum insured $19275, Year built 1999, Professionally built True, Water skiers 0, Previous claims 0. Credit risk: Bad
Customer: Premium $333.67, Excess $950, Half-excess 2, Category power, Postcode 2903, Sum insured $11125, Year built 1980, Professionally built True, Water skiers 0, Previous claims 0. Credit risk: Bad
Customer: Premium $263.02, Excess $500, Half-excess 2, Category power, Postcode 4570, Sum insured $19750, Year built 2014, Professionally built True, Water skiers 0, Previous claims 0. Credit risk: Good
Customer: Premium $356.40, Excess $1000, Half-excess 2, Category power, Postcode 4655, Sum insured $23000, Year built 1988, Professionally built True, Water skiers 0, Previous claims 0. Credit risk: Bad
Customer: Premium $345.92, Excess $1000, Half-excess 2, Category power, Postcode 2540, Sum insured $33050, Year built 2003, Professionally built True, Water skiers 0, Previous claims 0. Credit risk: Good
Customer: Premium $346.30, Excess $750, Half-excess 2, Category power, Postcode 4815, Sum insured $39800, Year built 2013, Professionally built True, Water skiers 0, Previous claims 0. Credit risk: Bad
Customer: Premium $204.49, Excess $950, Half-excess 2, Category power, Postcode 4852, Sum insured $6125, Year built 2004, Professionally built True, Water skiers 0, Previous claims 0. Credit risk: Bad
Customer: Premium $261.90, Excess $950, Half-excess 2, Category power, Postcode 4650, Sum insured $7925, Year built 1982, Professionally built True, Water skiers 0, Previous claims 0. Credit risk: Bad
Customer: Premium $256.42, Excess $950, Half-excess 2, Category power, Postcode 4207, Sum insured $7850, Year built 1985, Professionally built True, Water skiers 0, Previous claims 0. Credit risk: Good
Customer: Premium $885.29, Excess $1250, Half-excess 2, Category power, Postcode 2777, Sum insured $140100, Year built 2017, Professionally built True, Water skiers 0, Previous claims 0. Credit risk: Good
Customer: Premium $283.96, Excess $1000, Half-excess 2, Category power, Postcode 2759, Sum insured $20450, Year built 2000, Professionally built True, Water skiers 0, Previous claims 0. Credit risk: Good
Customer: Premium $394.55, Excess $1250, Half-excess 2, Category power, Postcode 4216, Sum insured $48500, Year built 2007, Professionally built True, Water skiers 0, Previous claims 0. Credit risk: Good
Customer: Premium $941.95, Excess $1250, Half-excess 2, Category power, Postcode 3434, Sum insured $46750, Year built 2001, Professionally built True, Water skiers 0, Previous claims 0. Credit risk: Good
Customer: Premium $338.87, Excess $1000, Half-excess 2, Category power, Postcode 4703, Sum insured $29350, Year built 2002, Professionally built True, Water skiers 0, Previous claims 0. Credit risk: Bad
Customer: Premium $398.97, Excess $1000, Half-excess 2, Category power, Postcode 4352, Sum insured $28800, Year built 2008, Professionally built True, Water skiers 0, Previous claims 0. Credit risk: Good
Customer: Premium $277.22, Excess $1000, Half-excess 2, Category power, Postcode 4516, Sum insured $20000, Year built 2010, Professionally built True, Water skiers 0, Previous claims 0. Credit risk: Good
Customer: Premium $713.69, Excess $1000, Half-excess 2, Category power, Postcode 3099, Sum insured $27950, Year built 1998, Professionally built True, Water skiers 0, Previous claims 0. Credit risk: Good
Customer: Premium $378.08, Excess $1000, Half-excess 2, Category power, Postcode 3880, Sum insured $37600, Year built 2007, Professionally built True, Water skiers 0, Previous claims 0. Credit risk: Good
Customer: Premium $297.04, Excess $950, Half-excess 2, Category power, Postcode 2620, Sum insured $8670, Year built 1987, Professionally built True, Water skiers 0, Previous claims 0. Credit risk: Good
Customer: Premium $288.46, Excess $1000, Half-excess 2, Category power, Postcode 2745, Sum insured $17900, Year built 1997, Professionally built True, Water skiers 0, Previous claims 0. Credit risk: Good
Customer: Premium $332.42, Excess $1000, Half-excess 2, Category power, Postcode 2228, Sum insured $23850, Year built 2006, Professionally built True, Water skiers 0, Previous claims 1. Credit risk: Good
Customer: Premium $352.65, Excess $1000, Half-excess 2, Category power, Postcode 2766, Sum insured $18625, Year built 1980, Professionally built True, Water skiers 0, Previous claims 0. Credit risk: Bad
Customer: Premium $300.88, Excess $500, Half-excess 2, Category power, Postcode 4562, Sum insured $25150, Year built 2011, Professionally built True, Water skiers 0, Previous claims 0. Credit risk: Good
Customer: Premium $299.83, Excess $1000, Half-excess 2, Category power, Postcode 2450, Sum insured $25350, Year built 2009, Professionally built True, Water skiers 0, Previous claims 0. Credit risk: Good
Customer: Premium $307.04, Excess $1000, Half-excess 2, Category power, Postcode 7249, Sum insured $24275, Year built 1999, Professionally built True, Water skiers 0, Previous claims 0. Credit risk: Good
Customer: Premium $223.66, Excess $950, Half-excess 2, Category power, Postcode 4179, Sum insured $9850, Year built 2008, Professionally built True, Water skiers 0, Previous claims 1. Credit risk: Good
Customer: Premium $410.60, Excess $1000, Half-excess 2, Category power, Postcode 4655, Sum insured $15600, Year built 1986, Professionally built True, Water skiers 0, Previous claims 0. Credit risk: Bad
Customer: Premium $291.17, Excess $1000, Half-excess 2, Category power, Postcode 3214, Sum insured $23750, Year built 2005, Professionally built True, Water skiers 0, Previous claims 0. Credit risk: Good
Customer: Premium $273.76, Excess $1000, Half-excess 2, Category power, Postcode 2324, Sum insured $19700, Year built 2004, Professionally built True, Water skiers 0, Previous claims 0. Credit risk: Good
Customer: Premium $798.88, Excess $1000, Half-excess 2, Category power, Postcode 4655, Sum insured $88050, Year built 2013, Professionally built True, Water skiers 0, Previous claims 0. Credit risk: Bad
Customer: Premium $574.43, Excess $750, Half-excess 2, Category power, Postcode 4501, Sum insured $62350, Year built 2015, Professionally built True, Water skiers 0, Previous claims 0. Credit risk: Good
Customer: Premium $306.36, Excess $1000, Half-excess 2, Category power, Postcode 2456, Sum insured $25050, Year built 2008, Professionally built True, Water skiers 0, Previous claims 0. Credit risk: Good
Customer: Premium $504.85, Excess $1000, Half-excess 2, Category power, Postcode 6083, Sum insured $24200, Year built 1988, Professionally built True, Water skiers 0, Previous claims 1. Credit risk: Good
Customer: Premium $436.53, Excess $1000, Half-excess 2, Category power, Postcode 4868, Sum insured $25100, Year built 2001, Professionally built True, Water skiers 0, Previous claims 0. Credit risk: Bad
Customer: Premium $446.63, Excess $750, Half-excess 2, Category power, Postcode 4874, Sum insured $56400, Year built 2018, Professionally built True, Water skiers 0, Previous claims 0. Credit risk: Bad
Customer: Premium $454.17, Excess $1250, Half-excess 2, Category power, Postcode 6720, Sum insured $56300, Year built 2010, Professionally built True, Water skiers 0, Previous claims 0. Credit risk: Bad
Customer: Premium $508.38, Excess $750, Half-excess 2, Category power, Postcode 3810, Sum insured $65050, Year built 2012, Professionally built True, Water skiers 0, Previous claims 0. Credit risk: Good
Customer: Premium $456.41, Excess $1250, Half-excess 2, Category power, Postcode 4873, Sum insured $40100, Year built 2003, Professionally built True, Water skiers 0, Previous claims 1. Credit risk: Bad
Customer: Premium $305.34, Excess $1000, Half-excess 2, Category power, Postcode 6330, Sum insured $15475, Year built 1987, Professionally built True, Water skiers 0, Previous claims 0. Credit risk: Good
Customer: Premium $271.52, Excess $950, Half-excess 2, Category power, Postcode 4211, Sum insured $9250, Year built 1984, Professionally built True, Water skiers 0, Previous claims 0. Credit risk: Good
Customer: Premium $610.10, Excess $750, Half-excess 2, Category power, Postcode 4184, Sum insured $63250, Year built 2011, Professionally built True, Water skiers 0, Previous claims 1. Credit risk: Good
Customer: Premium $355.02, Excess $950, Half-excess 2, Category power, Postcode 4305, Sum insured $6775, Year built 1988, Professionally built True, Water skiers 0, Previous claims 0. Credit risk: Good
Customer: Premium $208.62, Excess $950, Half-excess 2, Category power, Postcode 3156, Sum insured $7190, Year built 2006, Professionally built True, Water skiers 0, Previous claims 0. Credit risk: Good
Customer: Premium $473.00, Excess $750, Half-excess 2, Category power, Postcode 3061, Sum insured $65100, Year built 2011, Professionally built True, Water skiers 0, Previous claims 0. Credit risk: Good
Customer: Premium $174.39, Excess $950, Half-excess 2, Category power, Postcode 2106, Sum insured $3355, Year built 2001, Professionally built True, Water skiers 0, Previous claims 0. Credit risk: Good
Customer: Premium $498.01, Excess $1250, Half-excess 2, Category power, Postcode 6007, Sum insured $62800, Year built 2008, Professionally built True, Water skiers 0, Previous claims 0. Credit risk: Good
Customer: Premium $563.92, Excess $1500, Half-excess 2, Category power, Postcode 2199, Sum insured $81900, Year built 2007, Professionally built True, Water skiers 0, Previous claims 0. Credit risk: Bad
Customer: Premium $195.37, Excess $950, Half-excess 2, Category power, Postcode 2250, Sum insured $4205, Year built 2010, Professionally built True, Water skiers 0, Previous claims 0. Credit risk: Good
Customer: Premium $290.02, Excess $500, Half-excess 2, Category power, Postcode 4806, Sum insured $22300, Year built 2013, Professionally built True, Water skiers 0, Previous claims 0. Credit risk: Bad
Customer: Premium $213.67, Excess $950, Half-excess 2, Category power, Postcode 4511, Sum insured $9975, Year built 1999, Professionally built True, Water skiers 0, Previous claims 0. Credit risk: Good
Customer: Premium $548.21, Excess $1500, Half-excess 2, Category power, Postcode 6069, Sum insured $66550, Year built 2009, Professionally built True, Water skiers 0, Previous claims 0. Credit risk: Good
Customer: Premium $243.82, Excess $1000, Half-excess 2, Category power, Postcode 2287, Sum insured $15050, Year built 2002, Professionally built True, Water skiers 0, Previous claims 0. Credit risk: Good
Customer: Premium $386.93, Excess $1000, Half-excess 2, Category power, Postcode 5253, Sum insured $38050, Year built 2000, Professionally built True, Water skiers 0, Previous claims 0. Credit risk: Good
Customer: Premium $330.95, Excess $500, Half-excess 2, Category power, Postcode 2233, Sum insured $38350, Year built 2015, Professionally built True, Water skiers 0, Previous claims 0. Credit risk: Good
Customer: Premium $248.39, Excess $1000, Half-excess 2, Category power, Postcode 4173, Sum insured $17450, Year built 2003, Professionally built True, Water skiers 0, Previous claims 0. Credit risk: Good
Customer: Premium $533.15, Excess $1250, Half-excess 2, Category power, Postcode 4740, Sum insured $64950, Year built 2003, Professionally built True, Water skiers 0, Previous claims 0. Credit risk: Bad
Customer: Premium $233.91, Excess $1000, Half-excess 2, Category power, Postcode 4226, Sum insured $13750, Year built 2003, Professionally built True, Water skiers 0, Previous claims 0. Credit risk: Good
